City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Port Blair,IN,77.99,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
8,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
12,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
17,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Dondo,MZ,76.51,clear sky,-19.6094,34.7431,Arco Iris
23,Soyo,AO,78.42,overcast clouds,-6.1349,12.3689,Hotel Mpampa
32,Iracoubo,GF,77.47,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
44,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
45,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
46,Rikitea,PF,76.69,overcast clouds,-23.1203,-134.9692,People ThankYou
50,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
51,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
53,Lazaro Cardenas,MX,79.34,broken clouds,17.9583,-102.2,quinta antigua
55,Omboue,GA,76.35,light rain,-1.5746,9.2618,Hotel Olako
56,Yaring,TH,75.29,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
57,Innisfail,AU,88.88,scattered clouds,-17.5333,146.0333,Moondarra Motel
58,Santa Fe,AR,79.0,broken clouds,-31.6333,-60.7,Conquistador Hotel
64,Geraldton,AU,76.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
66,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
67,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
72,Narrabri,AU,77.52,broken clouds,-30.3167,149.7833,Crossroads Hotel
73,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
74,Mahebourg,MU,78.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,Hobyo,SO,78.42,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
78,Namatanai,PG,84.94,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
82,Beira,MZ,77.09,clear sky,-19.8436,34.8389,Beira Terrace Hotel
85,Hithadhoo,MV,81.28,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Tawau,MY,77.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
96,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
98,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
116,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
117,Balabac,PH,82.15,broken clouds,7.9868,117.0645,Sing and Swing Lodge
124,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
129,Faanui,PF,81.39,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
132,Kavieng,PG,83.28,moderate rain,-2.5744,150.7967,Nusa Island Retreat
134,General Roca,AR,84.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
136,Urucara,BR,77.77,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
138,Buchanan,LR,75.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
141,Amambai,BR,77.9,few clouds,-23.1042,-55.2258,Keren Hotel
144,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
145,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
146,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
151,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
155,Camocim,BR,81.48,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
165,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
168,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
169,Sao Jose Da Coroa Grande,BR,77.77,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
176,Luanda,AO,80.6,light rain,-8.8368,13.2343,Hotel Fórum
182,Sabang,ID,80.92,overcast clouds,5.8933,95.3214,Hotel Citra
183,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
186,Meulaboh,ID,76.33,overcast clouds,4.1363,96.1285,Kost Pria
189,Port Moresby,PG,81.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
193,Butaritari,KI,80.65,moderate rain,3.0707,172.7902,Isles Sunset Lodge
198,Velingara,SN,78.13,broken clouds,13.15,-14.1167,Hotel Najla
204,Honiara,SB,82.94,light rain,-9.4333,159.95,Heritage Park Hotel
205,Bowen,AU,84.42,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
208,Calabozo,VE,85.23,scattered clouds,8.9242,-67.4293,Hotel Giardini
215,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
223,Ahipara,NZ,75.34,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
227,Mayumba,GA,78.19,light rain,-3.432,10.6554,LIKWALE LODGE
234,Gigmoto,PH,78.06,overcast clouds,13.7796,124.39,Cj's Travellers Inn
238,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
239,Muriwai Beach,NZ,76.42,broken clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
242,Lakes Entrance,AU,75.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
244,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
245,Emerald,AU,80.74,scattered clouds,-23.5333,148.1667,The Irish Village
247,Tecoanapa,MX,80.56,clear sky,16.5167,-98.75,Hotel Manglares
248,Lorengau,PG,86.94,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Centralina,BR,76.95,broken clouds,-18.5839,-49.1994,MM Plaza Hotel
251,Batticaloa,LK,77.23,clear sky,7.7102,81.6924,Grand Star Guest House
256,Vao,NC,76.37,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
264,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
269,Mapastepec,MX,77.85,clear sky,15.4333,-92.9,Hotel San Carlos
270,Malibu,US,76.1,clear sky,34.005,-118.8101,Malibu Country Inn
271,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
272,Lompoc,US,77.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
273,Cururupu,BR,77.05,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
275,Aldama,MX,81.5,scattered clouds,22.9167,-98.0667,CASA CANYE
277,Cantanhede,BR,76.84,broken clouds,-3.6333,-44.3767,HOTEL FE EM DEUS
279,Agua Dulce,MX,75.42,scattered clouds,18.1333,-94.1333,Hotel Victoria
281,Buala,SB,78.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
284,Coahuayana,MX,79.14,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
285,Kieta,PG,84.61,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
292,Pailitas,CO,78.26,overcast clouds,8.9565,-73.6255,HOTEL JECENTER
294,Nhulunbuy,AU,84.81,light rain,-12.2333,136.7667,East Arnhem Real Estate
295,Terenos,BR,83.91,clear sky,-20.4422,-54.8603,Rancho Pitzer
300,Vanimo,PG,86.41,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
302,Rioja,AR,75.4,broken clouds,-29.4111,-66.8507,Hotel Libertador
306,Gawler,AU,79.61,scattered clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
307,Boyolangu,ID,76.28,light rain,-8.1181,111.8935,Yos ega cv
308,Sumbe,AO,77.31,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
321,Soto La Marina,MX,78.78,broken clouds,23.7667,-98.2167,Hotel Chicago
330,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
341,Inhambane,MZ,75.79,clear sky,-23.865,35.3833,Oceano
343,Coihueco,CL,92.14,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
348,Carmen,MX,82.44,clear sky,18.6333,-91.8333,Hotel Lossandes
354,Sibolga,ID,75.83,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
355,Kununurra,AU,78.78,light rain,-15.7667,128.7333,Hotel Kununurra
359,Alibag,IN,75.27,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
360,Lucea,JM,80.46,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
371,Ugoofaaru,MV,82.2,scattered clouds,5.6667,73.0,Ungoofaaru Inn
373,Bubaque,GW,81.5,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
374,Tevaitoa,PF,81.27,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
378,Pocone,BR,77.29,moderate rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
381,Byron Bay,AU,81.05,broken clouds,-28.65,153.6167,Backpackers Inn
391,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
393,Kudat,MY,77.29,few clouds,6.8837,116.8477,Dream Garden Hotel
395,Kahului,US,76.84,moderate rain,20.8947,-156.47,Maui Seaside Hotel
398,Bengkulu,ID,76.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
399,Takoradi,GH,80.19,scattered clouds,4.8845,-1.7554,Raybow International Hotel
406,Pundaguitan,PH,80.96,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
408,Lethem,GY,80.42,overcast clouds,3.3803,-59.7968,Savannah Inn
410,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
412,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
413,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
415,Sinjai,ID,77.2,overcast clouds,-5.1241,120.253,Wisma Sandika
416,Santiago,CL,85.44,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
430,Kirakira,SB,81.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
431,Ransang,PH,79.65,few clouds,8.9603,117.5828,Black and Crystal Sand Campsite
433,Taganak,PH,77.14,broken clouds,6.0833,118.3,Taganak
435,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
442,Port Keats,AU,88.03,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
454,Valdivia,CL,77.09,clear sky,-39.8142,-73.2459,Hostal Entre Rios
455,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
462,Dingle,PH,77.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
464,Roebourne,AU,94.51,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
469,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
472,La Asuncion,VE,80.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
473,Nanakuli,US,75.04,light rain,21.3906,-158.1547,Camp Pālehua
474,Mitsamiouli,KM,80.73,few clouds,-11.3847,43.2844,Foyer ADM
479,Kitcharao,PH,78.64,light rain,9.455,125.5731,Eezy't
490,Acarau,BR,81.28,scattered clouds,-2.8856,-40.12,castelo pizzaria
491,Kudahuvadhoo,MV,81.5,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
497,Lakatoro,VU,84.24,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
499,Coolum Beach,AU,79.11,broken clouds,-26.5333,153.1,Palmer Coolum Resort
500,Broken Hill,AU,76.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
506,Puerto Ayacucho,VE,85.78,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
512,Cockburn Town,TC,80.29,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
519,Urupes,BR,81.73,broken clouds,-21.2017,-49.29,Romera
520,Jalingo,NG,79.23,overcast clouds,8.8833,11.3667,Debright Motel
527,Trincomalee,LK,79.43,clear sky,8.5711,81.2335,Welcombe Hotel
530,Axim,GH,79.81,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
532,Tambulig,PH,79.86,overcast clouds,8.0702,123.5348,Calolot Mountain Resort
537,Lokoja,NG,80.13,broken clouds,7.8024,6.743,Hotel Charvid
539,Karratha,AU,91.81,moderate rain,-20.7377,116.8463,ibis Styles Karratha
543,Mogadishu,SO,78.91,scattered clouds,2.0371,45.3438,Hotel Juba
559,Sao Filipe,CV,75.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
