City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,55.8,52,50,17.22,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,55.47,46,92,6.33,overcast clouds
2,Lagoa,PT,39.05,-27.9833,63.0,76,82,11.7,broken clouds
3,Port Blair,IN,11.6667,92.75,77.99,70,24,11.5,few clouds
4,Okhotsk,RU,59.3833,143.3,-11.09,88,19,13.15,few clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,1,8.05,clear sky
6,Albany,US,42.6001,-73.9662,37.81,61,98,5.3,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,59.29,95,100,9.33,light rain
8,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,17.27,clear sky
9,Coihaique,CL,-45.5752,-72.0662,67.95,45,40,6.91,scattered clouds
10,Manjeshwar,IN,12.7194,74.8861,74.35,87,25,6.96,scattered clouds
11,Thompson,CA,55.7435,-97.8558,-18.24,69,1,9.22,clear sky
12,San Cristobal,VE,7.7669,-72.225,75.38,78,78,1.59,broken clouds
13,Marysville,US,48.0518,-122.1771,42.98,91,1,3.44,fog
14,Patea,NZ,-39.7583,174.4833,68.67,81,98,10.87,light rain
15,Fukue,JP,32.6881,128.8419,50.36,87,40,2.3,scattered clouds
16,Fort Nelson,CA,58.8053,-122.7002,-17.01,76,20,5.75,few clouds
17,Kapaa,US,22.0752,-159.319,79.12,69,40,4.0,scattered clouds
18,Taian,CN,36.1853,117.12,40.53,57,78,0.74,broken clouds
19,Provideniya,RU,64.3833,-173.3,28.51,93,90,20.13,snow
20,Evensk,RU,61.95,159.2333,-13.95,80,24,7.56,few clouds
21,Sambava,MG,-14.2667,50.1667,74.77,88,8,9.64,light rain
22,Dondo,MZ,-19.6094,34.7431,76.51,95,0,2.28,clear sky
23,Soyo,AO,-6.1349,12.3689,78.42,89,97,7.29,overcast clouds
24,Mancio Lima,BR,-7.6142,-72.8958,72.41,99,99,2.15,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,47.86,53,40,25.32,scattered clouds
26,Srandakan,ID,-7.9386,110.2506,66.72,85,99,6.55,light rain
27,Atasu,KZ,48.6814,71.6433,31.57,99,100,6.44,light snow
28,Bahar,IR,34.9072,48.4414,40.73,35,25,4.32,scattered clouds
29,Tazovskiy,RU,67.4667,78.7,-13.23,87,73,15.48,broken clouds
30,Ornskoldsvik,SE,63.2909,18.7153,5.95,92,75,4.61,broken clouds
31,Sayyan,YE,15.1718,44.3244,47.01,31,0,2.55,clear sky
32,Iracoubo,GF,5.4802,-53.2011,77.47,89,98,7.81,light rain
33,Ilulissat,GL,69.2167,-51.1,30.22,64,75,13.8,broken clouds
34,Busselton,AU,-33.65,115.3333,61.09,63,62,17.65,broken clouds
35,Colares,PT,38.7992,-9.4469,56.34,68,12,1.01,few clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,63.88,77,0,15.01,clear sky
37,Hobart,AU,-42.8794,147.3294,67.26,57,75,1.99,broken clouds
38,Constitucion,CL,-35.3333,-72.4167,58.57,82,4,5.7,clear sky
39,Nikolskoye,RU,59.7035,30.7861,-1.61,97,8,4.54,clear sky
40,Yellowknife,CA,62.456,-114.3525,-20.58,85,20,2.3,few clouds
41,Esperance,AU,-33.8667,121.9,64.24,67,90,12.33,overcast clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,68.49,87,42,10.22,scattered clouds
43,Hermanus,ZA,-34.4187,19.2345,60.91,94,100,9.8,light rain
44,Morant Bay,JM,17.8815,-76.4093,82.02,84,49,10.65,scattered clouds
45,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,broken clouds
46,Rikitea,PF,-23.1203,-134.9692,76.69,73,98,9.4,overcast clouds
47,Ponta Do Sol,PT,32.6667,-17.1,65.03,70,20,9.71,few clouds
48,Gornopravdinsk,RU,60.05,69.9,-14.33,100,56,2.46,broken clouds
49,Torbay,CA,47.6666,-52.7314,33.58,79,90,14.97,light shower snow
50,Kloulklubed,PW,7.0419,134.2556,82.9,77,100,13.62,overcast clouds
51,Atuona,PF,-9.8,-139.0333,78.66,75,5,19.08,clear sky
52,Leningradskiy,RU,69.3833,178.4167,-3.19,98,100,17.07,light snow
53,Lazaro Cardenas,MX,17.9583,-102.2,79.34,77,71,4.63,broken clouds
54,Rochelle,FR,46.25,-1.0,48.29,76,90,20.71,overcast clouds
55,Omboue,GA,-1.5746,9.2618,76.35,94,100,8.3,light rain
56,Yaring,TH,6.8662,101.3689,75.29,76,75,4.56,broken clouds
57,Innisfail,AU,-17.5333,146.0333,88.88,54,46,10.45,scattered clouds
58,Santa Fe,AR,-31.6333,-60.7,79.0,59,77,3.0,broken clouds
59,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,90,16.11,overcast clouds
60,Mehamn,NO,71.0357,27.8492,28.35,74,90,25.32,light shower snow
61,Sur,OM,22.5667,59.5289,71.8,73,0,3.36,clear sky
62,Kaitangata,NZ,-46.2817,169.8464,53.92,54,89,7.76,overcast clouds
63,Chardara,KZ,41.2547,67.9692,43.02,64,3,5.14,clear sky
64,Geraldton,AU,-28.7667,114.6,76.12,56,1,13.8,clear sky
65,Port Lincoln,AU,-34.7333,135.8667,66.47,55,12,1.07,few clouds
66,Alofi,NU,-19.0595,-169.9187,80.49,78,76,16.11,light rain
67,Cabedelo,BR,-6.9811,-34.8339,79.47,78,69,16.6,broken clouds
