City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Cabezas,NI,2021-12-05 23:41:19,14.0351,-83.3888,80.56,94,75,4.61
1,Iqaluit,CA,2021-12-05 23:41:19,63.7506,-68.5145,10.13,66,90,15.99
2,Atuona,PF,2021-12-05 23:40:56,-9.8,-139.0333,78.66,75,5,19.08
3,Albany,US,2021-12-05 23:39:44,42.6001,-73.9662,37.81,61,98,5.3
4,Sept-Iles,CA,2021-12-05 23:40:02,50.2001,-66.3821,12.72,62,20,4.61
5,Faanui,PF,2021-12-05 23:41:19,-16.4833,-151.75,81.39,66,55,16.67
6,Whitefish,US,2021-12-05 23:41:20,48.4111,-114.3376,28.38,66,90,5.75
7,Hilo,US,2021-12-05 23:39:51,19.7297,-155.09,74.93,91,90,11.5
8,Yellowknife,CA,2021-12-05 23:37:56,62.456,-114.3525,-20.58,85,20,2.3
9,Pangnirtung,CA,2021-12-05 23:41:20,66.1451,-65.7125,4.91,98,100,6.87
10,Minab,IR,2021-12-05 23:41:20,27.1467,57.0801,58.5,50,14,1.25
11,Port Lincoln,AU,2021-12-05 23:41:02,-34.7333,135.8667,66.47,55,12,1.07
12,Sergeyevka,KZ,2021-12-05 23:41:21,53.88,67.4158,24.69,96,100,7.61
13,Mount Isa,AU,2021-12-05 23:41:21,-20.7333,139.5,78.57,57,98,16.11
14,Zykovo,RU,2021-12-05 23:41:22,55.9519,93.1461,32.99,74,100,11.9
15,Rosarito,MX,2021-12-05 23:41:22,32.3333,-117.0333,72.81,63,0,7.23
16,Togul,RU,2021-12-05 23:41:22,53.465,85.9128,11.14,97,100,2.71
17,Khatanga,RU,2021-12-05 23:41:23,71.9667,102.5,-18.65,99,98,6.96
18,Abbeyfeale,IE,2021-12-05 23:41:23,52.3814,-9.3025,43.52,92,100,9.6
19,Nikolskoye,RU,2021-12-05 23:39:53,59.7035,30.7861,-1.61,97,8,4.54
20,Tokonou,GN,2021-12-05 23:41:24,9.65,-9.7833,70.72,29,13,2.77
21,Hermanus,ZA,2021-12-05 23:37:01,-34.4187,19.2345,60.91,94,100,9.8
22,Cabo San Lucas,MX,2021-12-05 23:38:45,22.8909,-109.9124,80.51,60,75,2.3
23,San Patricio,US,2021-12-05 23:41:24,28.017,-97.5169,79.48,84,100,13.8
24,Puerto Ayora,EC,2021-12-05 23:39:54,-0.7393,-90.3518,68.49,87,42,10.22
25,Upernavik,GL,2021-12-05 23:41:06,72.7868,-56.1549,25.9,75,100,5.88
26,Japura,ID,2021-12-05 23:41:25,-0.3167,102.35,73.6,97,99,2.44
27,East London,ZA,2021-12-05 23:41:25,-33.0153,27.9116,68.27,93,100,4.32
28,Kailua,US,2021-12-05 23:41:25,21.4022,-157.7394,74.14,57,74,11.21
29,Kapaa,US,2021-12-05 23:39:47,22.0752,-159.319,79.12,69,40,4.0
30,Fountain Hills,US,2021-12-05 23:40:28,33.6117,-111.7174,75.29,22,1,5.01
31,Naples,IT,2021-12-05 23:39:15,40.8333,14.25,50.05,87,40,3.0
32,Belyy Yar,RU,2021-12-05 23:41:26,53.6039,91.3903,9.86,87,78,4.47
33,Mataura,NZ,2021-12-05 23:39:43,-46.1927,168.8643,55.47,46,92,6.33
34,Rikitea,PF,2021-12-05 23:40:54,-23.1203,-134.9692,76.69,73,98,9.4
35,Vieux-Habitants,GP,2021-12-05 23:41:27,16.0589,-61.7659,76.71,79,68,12.46
36,Mareeba,AU,2021-12-05 23:41:27,-17.0,145.4333,86.49,58,2,7.45
37,Mahebourg,MU,2021-12-05 23:41:05,-20.4081,57.7,78.26,78,40,8.05
38,Mehamn,NO,2021-12-05 23:41:00,71.0357,27.8492,28.35,74,90,25.32
39,Punta Arenas,CL,2021-12-05 23:37:26,-53.15,-70.9167,53.71,43,20,18.41
40,Nyzy,UA,2021-12-05 23:41:28,50.7828,34.7844,30.18,71,100,5.82
41,Cidreira,BR,2021-12-05 23:41:03,-30.1811,-50.2056,69.55,87,48,14.47
42,Port Alfred,ZA,2021-12-05 23:41:28,-33.5906,26.891,68.22,92,100,10.11
43,Buin,CL,2021-12-05 23:42:29,-33.7333,-70.75,86.32,46,0,4.72
44,Chuy,UY,2021-12-05 23:42:29,-33.6971,-53.4616,64.2,87,96,6.08
45,Macheng,CN,2021-12-05 23:42:30,31.1783,115.0319,46.78,40,0,2.39
46,Georgetown,MY,2021-12-05 23:42:30,5.4112,100.3354,77.9,81,20,5.01
47,Pacific Grove,US,2021-12-05 23:42:30,36.6177,-121.9166,68.43,83,40,3.0
48,Road Town,VG,2021-12-05 23:42:31,18.4167,-64.6167,80.69,78,20,10.36
49,Torbay,CA,2021-12-05 23:37:31,47.6666,-52.7314,33.58,79,90,14.97
50,Port Moresby,PG,2021-12-05 23:42:31,-9.4431,147.1797,81.82,78,75,11.5
51,Portland,US,2021-12-05 23:40:16,45.5234,-122.6762,47.34,77,75,1.01
52,Port Elizabeth,ZA,2021-12-05 23:39:45,-33.918,25.5701,65.1,100,90,16.11
53,Busselton,AU,2021-12-05 23:39:52,-33.65,115.3333,61.09,63,62,17.65
54,Souillac,MU,2021-12-05 23:42:32,-20.5167,57.5167,78.37,78,40,8.05
55,Rognan,NO,2021-12-05 23:42:32,67.0953,15.3878,14.88,82,2,10.51
56,Flinders,AU,2021-12-05 23:33:50,-34.5833,150.8552,70.18,67,98,6.51
57,Bluff,NZ,2021-12-05 23:39:42,-46.6,168.3333,55.8,52,50,17.22
58,Ushuaia,AR,2021-12-05 23:39:49,-54.8,-68.3,47.86,53,40,25.32
59,Butaritari,KI,2021-12-05 23:42:33,3.0707,172.7902,80.65,83,100,12.68
60,Vaini,TO,2021-12-05 23:42:33,-21.2,-175.2,84.36,84,40,11.5
61,Hervey Bay,AU,2021-12-05 23:42:34,-25.2986,152.8535,83.03,76,13,5.01
62,Cockburn Town,TC,2021-12-05 23:38:44,21.4612,-71.1419,80.49,77,67,22.35
63,Havre-Saint-Pierre,CA,2021-12-05 23:42:34,50.2334,-63.5986,23.59,53,90,18.41
64,Carnarvon,AU,2021-12-05 23:39:45,-24.8667,113.6333,77.07,69,0,17.27
